pair_id,intent_category,raw_customer_message,raw_support_reply,customer_message,support_reply
SPOT-0001,Login & Auth Issue,@SpotifyCares I can't log into my account since morning! It keeps saying invalid password even after resetting it.,Hey there! Sorry to hear that. Can you try clearing your app cache or logging in via an incognito browser window? Let us know if that works! ^NK,I can't log into my account since morning! It keeps saying invalid password even after resetting it.,Hey there! Sorry to hear that. Can you try clearing your app cache or logging in via an incognito browser window? Let us know if that works! ^NK
SPOT-0002,Login & Auth Issue,@SpotifyCares I'm trying to log in on my new iPhone but not getting the 2FA verification code on SMS.,"Hi! Make sure your network connection is stable. If you still don't receive the SMS code, Send us a DM with your account email address and we'll check. ^JM",I'm trying to log in on my new iPhone but not getting the 2FA verification code on SMS.,"Hi! Make sure your network connection is stable. If you still don't receive the SMS code, Send us a DM with your account email address and we'll check. ^JM"
SPOT-0003,Login & Auth Issue,@SpotifyCares Why does Spotify keep logging me out every time I close the app on Windows 11?,Hey! That sounds frustrating. Try doing a clean reinstallation of the app. Let us know how it goes! ^BP,Why does Spotify keep logging me out every time I close the app on Windows 11?,Hey! That sounds frustrating. Try doing a clean reinstallation of the app. Let us know how it goes! ^BP
SPOT-0004,Login & Auth Issue,@SpotifyCares Forgot my password and the reset email isn't showing up in my inbox or spam folder.,Hi there! Check if your account was registered with Facebook or Apple ID instead. Send us a DM if you still need a hand! ^CA,Forgot my password and the reset email isn't showing up in my inbox or spam folder.,Hi there! Check if your account was registered with Facebook or Apple ID instead. Send us a DM if you still need a hand! ^CA
SPOT-0005,Login & Auth Issue,@SpotifyCares Getting error code 408 when trying to sign in on Spotify Web Player.,"Hey! Try disabling your browser extensions or VPN temporarily. If the issue persists, let us know your browser version. ^NK",Getting error code 408 when trying to sign in on Spotify Web Player.,"Hey! Try disabling your browser extensions or VPN temporarily. If the issue persists, let us know your browser version. ^NK"
SPOT-0006,Subscription & Premium,@SpotifyCares I renewed my Premium subscription yesterday but my account still shows Free status!,Hey! Try logging out and logging back in—that usually syncs your payment status right away. DM us your receipt if it stays Free! ^JM,I renewed my Premium subscription yesterday but my account still shows Free status!,Hey! Try logging out and logging back in—that usually syncs your payment status right away. DM us your receipt if it stays Free! ^JM
SPOT-0007,Subscription & Premium,@SpotifyCares How do I add a new member to my Spotify Family Plan?,Hi! The plan manager can send an invite link from their account page under Manage Family Plan. Everyone must reside at the same address. ^BP,How do I add a new member to my Spotify Family Plan?,Hi! The plan manager can send an invite link from their account page under Manage Family Plan. Everyone must reside at the same address. ^BP
SPOT-0008,Subscription & Premium,"@SpotifyCares My student discount expired, how do I re-verify my SheerID status?",Hey! You can re-verify your student status at spotify.com/student. Just follow the SheerID verification prompts there. ^CA,"My student discount expired, how do I re-verify my SheerID status?",Hey! You can re-verify your student status at spotify.com/student. Just follow the SheerID verification prompts there. ^CA
SPOT-0009,Subscription & Premium,@SpotifyCares Does Spotify Premium Duo allow two separate accounts with independent playlists?,"Hi there! Yes, Premium Duo provides two distinct Premium accounts under one discounted bill! ^NK",Does Spotify Premium Duo allow two separate accounts with independent playlists?,"Hi there! Yes, Premium Duo provides two distinct Premium accounts under one discounted bill! ^NK"
SPOT-0010,Subscription & Premium,@SpotifyCares I paid for 3 months prepaid card but Premium is only active for 1 month.,"Hey! Send us a DM with a photo of your gift card receipt and PIN, and we'll investigate for you. ^JM",I paid for 3 months prepaid card but Premium is only active for 1 month.,"Hey! Send us a DM with a photo of your gift card receipt and PIN, and we'll investigate for you. ^JM"
SPOT-0011,Billing & Refund Request,@SpotifyCares You guys charged me twice for Premium this month! I need a refund immediately.,Hi there! We can definitely look into double charges. Please send us a DM with your Spotify username and billing receipt screenshot. ^BP,You guys charged me twice for Premium this month! I need a refund immediately.,Hi there! We can definitely look into double charges. Please send us a DM with your Spotify username and billing receipt screenshot. ^BP
SPOT-0012,Billing & Refund Request,@SpotifyCares I canceled my subscription last week but was still charged $10.99 today. Refund please!,Hey! We'd be glad to check your cancellation status. DM us your account email so we can verify the billing cycle details. ^CA,I canceled my subscription last week but was still charged $10.99 today. Refund please!,Hey! We'd be glad to check your cancellation status. DM us your account email so we can verify the billing cycle details. ^CA
SPOT-0013,Billing & Refund Request,@SpotifyCares Unknown charge from Spotify on my bank statement that I did not authorize.,Hi! We take billing security seriously. Please DM us the date and exact amount charged so we can locate the transaction. ^NK,Unknown charge from Spotify on my bank statement that I did not authorize.,Hi! We take billing security seriously. Please DM us the date and exact amount charged so we can locate the transaction. ^NK
SPOT-0014,Billing & Refund Request,@SpotifyCares How long does a refund take to reflect back into my Visa credit card?,"Hey! Once issued, refunds typically take 3-5 business days to appear on your bank account statement depending on your bank. ^JM",How long does a refund take to reflect back into my Visa credit card?,"Hey! Once issued, refunds typically take 3-5 business days to appear on your bank account statement depending on your bank. ^JM"
